Response_ID,User_ID,Date_Response,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response
1230,1826,2015-03-04,False,False,False,False,False,True
1146,1,2015-01-29,False,True,False,False,False,True
920,10476,2015-03-31,False,False,False,False,False,False
1977,1386,2015-03-14,False,False,False,False,False,False
857,5371,2015-02-27,False,False,True,False,False,True
36,7348,2015-01-13,False,False,False,False,False,True
821,4073,2015-01-29,False,False,True,False,False,True
1423,1991,2015-01-24,False,False,False,False,False,False
652,4047,2015-03-19,False,False,False,False,False,False
2172,9477,2015-02-10,False,False,False,False,False,False
1056,2079,2015-02-12,False,False,False,False,False,False
608,5642,2015-03-29,False,False,False,False,False,False
2237,10530,2015-01-15,False,False,False,False,False,True
223,2964,2015-01-10,False,False,False,False,False,False
382,10311,2015-02-22,False,False,False,False,False,False
983,837,2015-01-08,False,False,False,False,False,False
1781,10521,2015-01-18,False,False,False,False,False,True
1554,10175,2015-02-12,False,False,False,False,False,False
1142,1473,2015-03-07,False,False,False,False,False,False
1415,2795,2015-03-06,False,False,False,False,False,False
1176,2285,2015-03-16,False,False,False,False,False,False
2040,115,2015-03-07,False,False,False,False,False,False
1995,10470,2015-03-06,False,False,False,False,False,False
1895,4065,2015-01-12,False,False,False,False,False,False
730,10968,2015-03-11,False,False,False,False,False,False
199,5985,2015-01-26,False,False,False,False,False,False
1341,5430,2015-03-12,False,False,False,False,False,False
1797,8432,2015-01-27,False,False,False,False,False,False
886,453,2015-02-02,False,False,False,False,False,False
9,9687,2015-01-03,False,False,False,False,False,False
960,8890,2015-03-10,False,False,False,False,False,False
1838,9264,2015-03-06,False,False,False,False,False,False
1378,5824,2015-03-31,False,False,False,False,False,False
86,5794,2015-02-12,True,False,False,True,False,True
1272,3068,2015-02-08,False,False,False,False,False,False
368,7962,2015-03-09,True,False,False,False,True,True
1691,2681,2015-02-06,False,False,False,False,False,False
1533,10141,2015-03-09,False,False,False,False,False,False
1407,3725,2015-03-20,True,True,False,True,True,True
1253,3767,2015-01-27,False,False,False,False,False,False
319,5585,2015-01-02,False,False,False,False,False,True
403,7030,2015-02-01,True,False,False,False,False,False
2181,1524,2015-01-23,True,False,False,False,False,True
120,3657,2015-02-11,False,False,False,False,False,False
2229,5740,2015-02-09,False,False,False,False,False,True
156,9595,2015-03-14,False,False,False,False,False,True
436,3158,2015-01-15,False,False,False,False,False,False
2203,5114,2015-03-12,False,False,False,False,False,False
1431,340,2015-01-09,False,False,True,False,False,True
1489,8805,2015-01-21,False,False,False,False,False,False
1336,1241,2015-03-04,False,False,False,False,False,True
217,1402,2015-03-02,False,False,False,False,False,False
538,7264,2015-01-23,False,False,False,False,False,False
1290,1619,2015-03-04,False,False,False,False,False,True
1157,6398,2015-01-15,False,False,False,False,False,False
1227,1857,2015-01-06,False,False,False,False,False,True
1387,4877,2015-01-01,False,False,False,False,False,False
213,3066,2015-01-22,False,False,False,False,False,False
466,10286,2015-01-07,False,False,False,False,False,False
