Complain_Code,User_ID,Complain_Category,Complain_Times
N0001,1826,No Complain,0
N0002,1,No Complain,0
N0003,10476,No Complain,0
N0004,1386,No Complain,0
N0005,5371,No Complain,0
N0006,7348,No Complain,0
N0007,4073,No Complain,0
N0008,1991,No Complain,0
N0009,4047,No Complain,0
N0010,9477,No Complain,0
N0011,2079,No Complain,0
N0012,5642,No Complain,0
N0013,10530,No Complain,0
N0014,2964,No Complain,0
N0015,10311,No Complain,0
N0016,837,No Complain,0
N0017,10521,No Complain,0
N0018,10175,No Complain,0
N0019,1473,No Complain,0
N0020,2795,No Complain,0
N0021,2285,No Complain,0
N0022,115,No Complain,0
N0023,10470,No Complain,0
N0024,4065,No Complain,0
N0025,10968,No Complain,0
N0026,5985,No Complain,0
N0027,5430,No Complain,0
N0028,8432,No Complain,0
N0029,453,No Complain,0
N0030,9687,No Complain,0
N0031,8890,No Complain,0
N0032,9264,No Complain,0
N0033,5824,No Complain,0
N0034,5794,No Complain,0
N0035,3068,No Complain,0
N0036,7962,No Complain,0
N0037,2681,No Complain,0
N0038,10141,No Complain,0
N0039,3725,No Complain,0
N0040,3767,No Complain,0
N0041,5585,No Complain,0
N0042,7030,No Complain,0
N0043,1524,No Complain,0
N0044,3657,No Complain,0
N0045,5740,No Complain,0
N0046,9595,No Complain,0
N0047,3158,No Complain,0
N0048,5114,No Complain,0
N0049,340,No Complain,0
N0050,8805,No Complain,0
N0051,1241,No Complain,0
N0052,1402,No Complain,0
N0053,7264,No Complain,0
N0054,1619,No Complain,0
N0055,6398,No Complain,0
N0056,1857,No Complain,0
N0057,4877,No Complain,0
N0058,3066,No Complain,0
N0059,10286,No Complain,0
N0060,1992,No Complain,0
N0061,4246,No Complain,0
N0062,10623,No Complain,0
N0063,4867,No Complain,0
N0064,3112,No Complain,0
N0065,4865,No Complain,0
N0066,6287,No Complain,0
N0067,4405,No Complain,0
N0068,5332,No Complain,0
N0069,1519,No Complain,0
N0070,9080,No Complain,0
N0071,1772,No Complain,0
N0072,5341,No Complain,0
N0073,5510,No Complain,0
N0074,3887,No Complain,0
N0075,7022,No Complain,0
N0076,9999,No Complain,0
N0077,10352,No Complain,0
N0078,7919,No Complain,0
N0079,4114,No Complain,0
N0080,7990,No Complain,0
N0081,9888,No Complain,0
N0082,4399,No Complain,0
N0083,4452,No Complain,0
N0084,4785,No Complain,0
N0085,8461,No Complain,0
N0086,3878,No Complain,0
N0087,9612,No Complain,0
N0088,4098,No Complain,0
N0089,158,No Complain,0
N0090,3896,No Complain,0
N0091,9970,No Complain,0
N0092,4002,No Complain,0
N0093,10914,No Complain,0
N0094,7279,No Complain,0
N0095,10582,No Complain,0
N0096,4470,No Complain,0
N0097,6183,No Complain,0
N0098,6379,No Complain,0
N0099,8601,No Complain,0
N0100,4827,No Complain,0
N0101,6715,No Complain,0
N0102,10676,No Complain,0
N0103,1041,No Complain,0
N0104,492,No Complain,0
N0105,11133,No Complain,0
N0106,4491,No Complain,0
N0107,873,No Complain,0
N0108,1631,No Complain,0
N0109,8278,No Complain,0
N0110,6815,No Complain,0
N0111,254,No Complain,0
N0112,1349,No Complain,0
N0113,2534,No Complain,0
N0114,2130,No Complain,0
N0115,2296,No Complain,0
N0116,3799,No Complain,0
N0117,11084,No Complain,0
N0118,5172,No Complain,0
N0119,9504,No Complain,0
N0120,850,No Complain,0
N0121,4477,No Complain,0
