User_ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Date_Enroll,Recency,Country,Complain_Code,Complain_Category,Complain_Times,Purchase_ID,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Consumption_ID,MntWines,MntFruits,MntMeats,MntFishs,MntSweets,MntGolds,Response_ID,Date_Response,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Survey_Approach_ID,Date_Click,Channel_Type,Deal_Storage_ID,NumDealsPurchases
1826,1970,Graduation,Divorced,84835.0,0,0,2014-06-16,0,Spain,N0001,No Complain,0,1043,4,4,6,1,1134,189.0,104.0,379.0,111.0,189.0,218.0,1230,2015-03-04,False,False,False,False,False,True,63,2014-12-24,Facebook,26,1
1,1961,Graduation,Single,57091.0,0,0,2014-06-15,0,Canada,N0002,No Complain,0,1473,7,3,7,5,118,464.0,5.0,64.0,7.0,0.0,37.0,1146,2015-01-29,False,True,False,False,False,True,1284,2014-12-15,Website,1441,1
10476,1958,Graduation,Married,67267.0,0,1,2014-05-13,0,United States,N0003,No Complain,0,650,3,2,5,2,454,134.0,11.0,59.0,15.0,2.0,30.0,920,2015-03-31,False,False,False,False,False,False,24,2014-12-23,Landing Page,178,1
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,Australia,N0004,No Complain,0,1192,1,0,2,7,837,10.0,0.0,1.0,0.0,0.0,0.0,1977,2015-03-14,False,False,False,False,False,False,1923,2014-12-26,Website,82,1
5371,1989,Graduation,Single,21474.0,1,0,2014-04-08,0,Spain,N0005,No Complain,0,2119,3,1,2,7,1724,6.0,16.0,24.0,11.0,0.0,34.0,857,2015-02-27,False,False,True,False,False,True,371,2014-12-18,Website,3,2
7348,1958,PhD,Single,71691.0,0,0,2014-03-17,0,Spain,N0006,No Complain,0,1230,4,7,5,2,1265,336.0,130.0,411.0,240.0,32.0,43.0,36,2015-01-13,False,False,False,False,False,True,480,2014-12-23,Landing Page,1859,1
4073,1954,2n Cycle,Married,63564.0,0,0,2014-01-29,0,Germany,N0007,No Complain,0,909,10,10,7,6,314,769.0,80.0,252.0,15.0,34.0,65.0,821,2015-01-29,False,False,True,False,False,True,1771,2014-12-18,Facebook,1746,1
1991,1967,Graduation,Together,44931.0,0,1,2014-01-18,0,Spain,N0008,No Complain,0,46,2,1,3,5,787,78.0,0.0,11.0,0.0,0.0,7.0,1423,2015-01-24,False,False,False,False,False,False,1195,2014-12-21,Email,956,1
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,United States,N0009,No Complain,0,302,6,2,9,4,2068,384.0,0.0,102.0,21.0,32.0,5.0,652,2015-03-19,False,False,False,False,False,False,2175,2014-12-31,Website,496,3
9477,1954,PhD,Married,65324.0,0,1,2014-01-11,0,India,N0010,No Complain,0,1525,6,2,9,4,697,384.0,0.0,102.0,21.0,32.0,5.0,2172,2015-02-10,False,False,False,False,False,False,2197,2014-12-29,Facebook,2126,3
2079,1947,2n Cycle,Married,81044.0,0,0,2013-12-27,0,United States,N0011,No Complain,0,388,5,6,10,1,580,450.0,26.0,535.0,73.0,98.0,26.0,1056,2015-02-12,False,False,False,False,False,False,1772,2014-12-20,Email,1501,1
5642,1979,Master,Together,62499.0,1,0,2013-12-09,0,Spain,N0012,No Complain,0,1391,3,1,6,4,1559,140.0,4.0,61.0,0.0,13.0,4.0,608,2015-03-29,False,False,False,False,False,False,68,2014-12-28,Email,2042,2
10530,1959,PhD,Widow,67786.0,0,0,2013-12-07,0,India,N0013,No Complain,0,1876,3,6,6,1,238,431.0,82.0,441.0,80.0,20.0,102.0,2237,2015-01-15,False,False,False,False,False,True,1742,2014-12-22,Landing Page,818,1
2964,1981,Graduation,Married,26872.0,0,0,2013-10-16,0,Canada,N0014,No Complain,0,109,1,1,2,6,1789,3.0,10.0,8.0,3.0,16.0,32.0,223,2015-01-10,False,False,False,False,False,False,1868,2014-12-21,Facebook,602,1
10311,1969,Graduation,Married,4428.0,0,1,2013-10-05,0,Spain,N0015,No Complain,0,967,25,0,0,1,1070,16.0,4.0,12.0,2.0,4.0,321.0,382,2015-02-22,False,False,False,False,False,False,1330,2014-12-25,Landing Page,1413,0
837,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,Spain,N0016,No Complain,0,1170,2,1,5,4,2206,63.0,6.0,57.0,13.0,13.0,22.0,983,2015-01-08,False,False,False,False,False,False,2056,2014-12-24,Facebook,446,4
10521,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,Spain,N0017,No Complain,0,1550,2,1,5,4,2176,63.0,6.0,57.0,13.0,13.0,22.0,1781,2015-01-18,False,False,False,False,False,True,1792,2014-12-17,Email,697,4
10175,1958,PhD,Divorced,32173.0,0,1,2013-08-01,0,Spain,N0018,No Complain,0,323,1,0,3,4,2133,18.0,0.0,2.0,0.0,0.0,2.0,1554,2015-02-12,False,False,False,False,False,False,2088,2014-12-21,Landing Page,1177,1
