Consumption_ID,User_ID,Purchase_ID,MntWines,MntFruits,MntMeats,MntFishs,MntSweets,MntGolds
1134,1826,1043,189.0,104.0,379.0,111.0,189.0,218.0
118,1,1473,464.0,5.0,64.0,7.0,0.0,37.0
454,10476,650,134.0,11.0,59.0,15.0,2.0,30.0
837,1386,1192,10.0,0.0,1.0,0.0,0.0,0.0
1724,5371,2119,6.0,16.0,24.0,11.0,0.0,34.0
1265,7348,1230,336.0,130.0,411.0,240.0,32.0,43.0
314,4073,909,769.0,80.0,252.0,15.0,34.0,65.0
787,1991,46,78.0,0.0,11.0,0.0,0.0,7.0
2068,4047,302,384.0,0.0,102.0,21.0,32.0,5.0
697,9477,1525,384.0,0.0,102.0,21.0,32.0,5.0
580,2079,388,450.0,26.0,535.0,73.0,98.0,26.0
1559,5642,1391,140.0,4.0,61.0,0.0,13.0,4.0
238,10530,1876,431.0,82.0,441.0,80.0,20.0,102.0
1789,2964,109,3.0,10.0,8.0,3.0,16.0,32.0
1070,10311,967,16.0,4.0,12.0,2.0,4.0,321.0
2206,837,1170,63.0,6.0,57.0,13.0,13.0,22.0
2176,10521,1550,63.0,6.0,57.0,13.0,13.0,22.0
2133,10175,323,18.0,0.0,2.0,0.0,0.0,2.0
1779,1473,1719,53.0,1.0,5.0,2.0,1.0,10.0
2029,2795,1762,5.0,0.0,3.0,0.0,0.0,5.0
2014,2285,1428,213.0,9.0,76.0,4.0,3.0,30.0
1554,115,1255,275.0,11.0,68.0,25.0,7.0,7.0
819,10470,1629,40.0,2.0,23.0,0.0,4.0,23.0
1885,4065,1610,308.0,0.0,73.0,0.0,0.0,23.0
570,10968,121,266.0,21.0,300.0,65.0,8.0,44.0
2058,5985,1103,80.0,1.0,37.0,0.0,1.0,3.0
1230,5430,436,454.0,0.0,171.0,8.0,19.0,32.0
1190,8432,272,454.0,0.0,171.0,8.0,19.0,32.0
635,453,992,27.0,0.0,12.0,0.0,1.0,5.0
418,9687,196,184.0,174.0,256.0,50.0,30.0,32.0
874,8890,1057,155.0,7.0,80.0,13.0,7.0,10.0
662,9264,729,423.0,42.0,706.0,73.0,197.0,197.0
1948,5824,1311,7.0,0.0,1.0,0.0,0.0,0.0
1788,5794,915,408.0,0.0,21.0,0.0,0.0,17.0
1522,3068,1792,1.0,12.0,9.0,0.0,14.0,7.0
1360,7962,2050,1285.0,21.0,449.0,106.0,20.0,20.0
180,2681,1440,71.0,22.0,112.0,138.0,89.0,29.0
1122,10141,2109,7.0,1.0,6.0,0.0,3.0,3.0
702,3725,1027,1248.0,16.0,349.0,43.0,16.0,16.0
782,3767,1513,378.0,0.0,189.0,97.0,172.0,172.0
8,5585,1204,12.0,2.0,17.0,6.0,1.0,10.0
2187,7030,1472,1200.0,0.0,204.0,38.0,29.0,14.0
712,1524,1955,709.0,45.0,115.0,30.0,160.0,45.0
1376,3657,552,94.0,1.0,33.0,13.0,12.0,12.0
305,5740,2077,4.0,2.0,12.0,7.0,5.0,26.0
621,9595,187,539.0,169.0,816.0,20.0,0.0,30.0
764,3158,1455,13.0,3.0,6.0,6.0,5.0,6.0
300,5114,389,670.0,9.0,249.0,0.0,28.0,9.0
2153,340,1059,158.0,35.0,179.0,0.0,0.0,125.0
693,8805,2033,283.0,10.0,38.0,0.0,13.0,27.0
1397,1241,448,13.0,3.0,8.0,7.0,4.0,16.0
79,1402,1371,496.0,36.0,460.0,189.0,60.0,12.0
1032,7264,1925,12.0,0.0,4.0,0.0,0.0,1.0
253,1619,1896,292.0,51.0,981.0,224.0,23.0,17.0
1017,6398,684,7.0,10.0,13.0,16.0,0.0,4.0
1005,1857,325,46.0,0.0,12.0,0.0,2.0,23.0
1758,4877,195,34.0,0.0,7.0,0.0,0.0,0.0
2096,3066,1329,167.0,0.0,43.0,6.0,2.0,13.0
953,10286,980,318.0,8.0,407.0,150.0,35.0,8.0
170,1992,151,522.0,0.0,257.0,32.0,16.0,66.0
647,4246,1289,67.0,11.0,26.0,4.0,3.0,262.0
106,10623,783,28.0,0.0,4.0,0.0,0.0,0.0
2003,4867,1348,58.0,0.0,18.0,2.0,0.0,10.0
878,3112,508,2.0,4.0,9.0,0.0,4.0,5.0
210,4865,11,229.0,7.0,140.0,10.0,3.0,11.0
997,6287,2015,14.0,0.0,16.0,0.0,0.0,6.0
1742,4405,982,622.0,7.0,115.0,30.0,0.0,15.0
82,5332,885,362.0,50.0,431.0,134.0,35.0,54.0
1645,1519,176,38.0,4.0,22.0,3.0,3.0,3.0
1355,9080,483,38.0,4.0,22.0,3.0,3.0,3.0
986,1772,186,1074.0,37.0,518.0,193.0,92.0,129.0
1011,5341,2212,983.0,76.0,184.0,180.0,138.0,27.0
336,5510,1491,262.0,6.0,61.0,0.0,10.0,102.0
1243,3887,928,3.0,17.0,26.0,20.0,1.0,39.0
1749,7022,2173,739.0,107.0,309.0,140.0,80.0,35.0
1498,9999,1606,610.0,105.0,125.0,137.0,42.0,21.0
1747,10352,1634,50.0,4.0,28.0,6.0,3.0,26.0
634,7919,420,1285.0,105.0,653.0,28.0,21.0,0.0
796,4114,1543,650.0,37.0,780.0,27.0,167.0,32.0
1663,7990,352,9.0,1.0,2.0,3.0,2.0,0.0
460,9888,339,458.0,81.0,356.0,106.0,50.0,40.0
571,4399,1054,458.0,81.0,356.0,106.0,50.0,40.0
1001,4452,1591,292.0,6.0,37.0,0.0,3.0,34.0
1777,4785,288,520.0,7.0,154.0,19.0,0.0,14.0
976,8461,1553,14.0,0.0,1.0,0.0,0.0,1.0
171,3878,2214,3.0,4.0,7.0,15.0,8.0,11.0
1390,9612,1927,1.0,8.0,6.0,4.0,8.0,16.0
1970,4098,1077,20.0,3.0,16.0,0.0,4.0,1.0
103,158,927,345.0,53.0,528.0,98.0,75.0,97.0
1653,3896,2049,22.0,1.0,11.0,0.0,1.0,2.0
1670,9970,1372,42.0,11.0,57.0,10.0,28.0,14.0
1500,4002,1430,463.0,96.0,333.0,168.0,53.0,10.0
2080,10914,1882,4.0,1.0,7.0,2.0,1.0,2.0
1901,7279,1599,260.0,86.0,559.0,63.0,9.0,67.0
209,10582,1123,180.0,32.0,348.0,76.0,32.0,90.0
186,4470,1926,62.0,1.0,44.0,6.0,5.0,22.0
1444,6183,259,62.0,1.0,44.0,6.0,5.0,22.0
1938,6379,2204,67.0,1.0,20.0,0.0,2.0,31.0
2035,8601,129,421.0,76.0,536.0,82.0,178.0,102.0
487,4827,1962,154.0,22.0,202.0,39.0,30.0,8.0
2188,6715,2201,502.0,19.0,132.0,0.0,6.0,26.0
432,10676,1039,145.0,193.0,459.0,205.0,26.0,145.0
5,1041,985,322.0,3.0,50.0,4.0,3.0,42.0
1526,492,2142,322.0,3.0,50.0,4.0,3.0,42.0
145,11133,1324,322.0,3.0,50.0,4.0,3.0,42.0
138,4491,887,1099.0,0.0,45.0,0.0,0.0,34.0
1704,873,2046,1099.0,0.0,45.0,0.0,0.0,34.0
1149,1631,1910,890.0,63.0,292.0,0.0,25.0,12.0
1448,8278,2149,863.0,83.0,547.0,86.0,99.0,33.0
402,6815,1916,448.0,21.0,125.0,52.0,101.0,62.0
499,254,40,399.0,4.0,30.0,6.0,4.0,30.0
1787,1349,20,85.0,7.0,24.0,2.0,3.0,27.0
1713,2534,1466,97.0,1.0,41.0,6.0,2.0,41.0
893,2130,2071,35.0,3.0,67.0,10.0,8.0,24.0
2017,2296,1714,3.0,2.0,11.0,2.0,2.0,10.0
1419,3799,826,315.0,35.0,322.0,46.0,7.0,143.0
828,11084,488,738.0,0.0,232.0,13.0,20.0,50.0
383,5172,678,738.0,0.0,232.0,13.0,20.0,50.0
713,9504,883,179.0,28.0,520.0,111.0,123.0,47.0
392,850,118,381.0,28.0,215.0,84.0,28.0,21.0
857,4477,1228,247.0,49.0,159.0,7.0,82.0,109.0
1114,1945,1755,711.0,36.0,217.0,172.0,96.0,168.0
510,7685,1479,30.0,8.0,12.0,8.0,8.0,12.0
649,6310,74,30.0,8.0,12.0,8.0,8.0,12.0
290,10832,1672,288.0,10.0,30.0,4.0,10.0,125.0
1654,3025,1834,212.0,6.0,69.0,4.0,12.0,3.0
1964,2404,1920,173.0,4.0,30.0,3.0,6.0,41.0
879,8581,1046,604.0,0.0,100.0,19.0,0.0,28.0
160,8755,1084,482.0,34.0,471.0,119.0,68.0,22.0
661,10177,163,531.0,69.0,300.0,150.0,138.0,150.0
1884,2429,1567,531.0,69.0,300.0,150.0,138.0,150.0
1997,8920,1936,448.0,40.0,469.0,80.0,0.0,91.0
183,8430,646,9.0,0.0,6.0,3.0,1.0,3.0
1285,8619,1337,9.0,0.0,6.0,3.0,1.0,3.0
2126,8996,610,230.0,42.0,192.0,49.0,37.0,53.0
805,7233,2079,496.0,32.0,849.0,229.0,48.0,128.0
545,6678,641,33.0,4.0,24.0,4.0,2.0,5.0
1580,830,782,784.0,48.0,560.0,42.0,176.0,48.0
538,6365,1437,10.0,12.0,12.0,25.0,1.0,20.0
2228,6770,2105,5.0,13.0,14.0,0.0,5.0,31.0
2111,2261,1997,4.0,1.0,5.0,2.0,0.0,4.0
1127,1031,209,600.0,20.0,350.0,29.0,30.0,33.0
1402,10089,527,168.0,148.0,444.0,32.0,172.0,148.0
2025,9256,1468,493.0,26.0,206.0,116.0,80.0,80.0
609,10641,1253,6.0,5.0,4.0,13.0,4.0,25.0
433,624,1977,6.0,4.0,1.0,7.0,2.0,15.0
640,4211,1502,4.0,12.0,5.0,3.0,16.0,17.0
1573,1407,1012,4.0,12.0,5.0,3.0,16.0,17.0
1063,10356,1380,29.0,0.0,2.0,0.0,0.0,1.0
524,9323,331,520.0,8.0,223.0,32.0,49.0,42.0
1204,1146,537,520.0,8.0,223.0,32.0,49.0,42.0
2189,6343,2091,835.0,73.0,380.0,114.0,73.0,43.0
366,8545,891,1296.0,17.0,311.0,45.0,69.0,51.0
202,8275,1081,16.0,0.0,3.0,0.0,0.0,1.0
1895,10673,947,760.0,80.0,466.0,17.0,13.0,80.0
105,8799,1785,70.0,6.0,69.0,2.0,3.0,3.0
420,67,2009,68.0,0.0,16.0,0.0,0.0,8.0
45,9923,1863,68.0,0.0,16.0,0.0,0.0,8.0
1068,2814,1244,9.0,1.0,5.0,4.0,5.0,7.0
1750,2711,954,9.0,1.0,5.0,4.0,5.0,7.0
1768,4320,264,325.0,83.0,300.0,86.0,58.0,91.0
2119,10451,2223,9.0,1.0,3.0,0.0,4.0,8.0
2098,4198,884,9.0,1.0,3.0,0.0,4.0,8.0
1223,10814,205,303.0,23.0,751.0,82.0,26.0,191.0
724,944,1895,121.0,103.0,69.0,8.0,44.0,48.0
2040,8151,718,16.0,36.0,21.0,20.0,62.0,108.0
1800,6184,676,561.0,64.0,785.0,84.0,128.0,48.0
573,3498,1530,462.0,61.0,184.0,10.0,53.0,107.0
1215,2870,1961,376.0,0.0,38.0,11.0,8.0,69.0
2077,7342,931,341.0,142.0,113.0,259.0,151.0,66.0
949,1911,216,595.0,97.0,291.0,127.0,133.0,121.0
1728,10862,1118,179.0,8.0,83.0,19.0,11.0,26.0
2145,2546,825,23.0,4.0,5.0,10.0,5.0,23.0
1933,3005,110,530.0,117.0,678.0,134.0,44.0,147.0
1312,8318,805,594.0,134.0,786.0,33.0,134.0,57.0
1033,2930,529,852.0,60.0,207.0,78.0,36.0,48.0
1817,8216,1908,158.0,0.0,76.0,13.0,7.0,71.0
1108,1212,845,384.0,25.0,292.0,130.0,41.0,64.0
1304,2541,546,14.0,7.0,11.0,11.0,0.0,5.0
1896,10659,680,2.0,8.0,11.0,3.0,8.0,21.0
1112,10905,120,194.0,2.0,56.0,0.0,0.0,0.0
1694,8910,936,194.0,2.0,56.0,0.0,0.0,0.0
97,7349,1016,6.0,17.0,16.0,6.0,16.0,42.0
1379,7872,35,179.0,21.0,273.0,0.0,21.0,63.0
1995,4290,459,1.0,3.0,8.0,2.0,5.0,5.0
727,7408,1548,216.0,2.0,6.0,0.0,0.0,9.0
1860,9986,698,16.0,0.0,23.0,3.0,2.0,10.0
887,8235,1933,428.0,30.0,214.0,80.0,30.0,61.0
1717,10949,1717,1092.0,37.0,592.0,145.0,37.0,55.0
271,7284,292,10.0,0.0,7.0,2.0,0.0,1.0
1574,9529,734,559.0,153.0,503.0,218.0,13.0,181.0
1392,9930,699,606.0,148.0,228.0,15.0,148.0,22.0
1493,10270,306,11.0,5.0,22.0,12.0,5.0,11.0
