User_ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Date_Enroll,Recency,Country,Complain_Category,Complain_Times,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,MntWines,MntFruits,MntMeats,MntFishs,MntSweets,MntGolds,Date_Response,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Date_Click,Channel_Type,NumDealsPurchases
1826,1970,Graduation,Divorced,84835.0,0,0,2014-06-16,0,Spain,No Complain,0,4,4,6,1,189.0,104.0,379.0,111.0,189.0,218.0,2015-02-24,False,False,False,False,False,True,2014-12-21,Email,1
1,1961,Graduation,Single,57091.0,0,0,2014-06-15,0,Canada,No Complain,0,7,3,7,5,464.0,5.0,64.0,7.0,0.0,37.0,2015-02-21,False,True,False,False,False,True,2014-12-16,Email,1
10476,1958,Graduation,Married,67267.0,0,1,2014-05-13,0,United States,No Complain,0,3,2,5,2,134.0,11.0,59.0,15.0,2.0,30.0,2015-01-04,False,False,False,False,False,False,2014-12-20,Facebook,1
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,Australia,No Complain,0,1,0,2,7,10.0,0.0,1.0,0.0,0.0,0.0,2015-02-26,False,False,False,False,False,False,2014-12-18,Facebook,1
5371,1989,Graduation,Single,21474.0,1,0,2014-04-08,0,Spain,No Complain,0,3,1,2,7,6.0,16.0,24.0,11.0,0.0,34.0,2015-01-17,False,False,True,False,False,True,2014-12-28,Website,2
7348,1958,PhD,Single,71691.0,0,0,2014-03-17,0,Spain,No Complain,0,4,7,5,2,336.0,130.0,411.0,240.0,32.0,43.0,2015-02-08,False,False,False,False,False,True,2014-12-24,Facebook,1
4073,1954,2n Cycle,Married,63564.0,0,0,2014-01-29,0,Germany,No Complain,0,10,10,7,6,769.0,80.0,252.0,15.0,34.0,65.0,2015-01-07,False,False,True,False,False,True,2014-12-18,Landing Page,1
1991,1967,Graduation,Together,44931.0,0,1,2014-01-18,0,Spain,No Complain,0,2,1,3,5,78.0,0.0,11.0,0.0,0.0,7.0,2015-03-24,False,False,False,False,False,False,2014-12-15,Facebook,1
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,United States,No Complain,0,6,2,9,4,384.0,0.0,102.0,21.0,32.0,5.0,2015-03-22,False,False,False,False,False,False,2014-12-16,Website,3
9477,1954,PhD,Married,65324.0,0,1,2014-01-11,0,India,No Complain,0,6,2,9,4,384.0,0.0,102.0,21.0,32.0,5.0,2015-02-05,False,False,False,False,False,False,2014-12-18,Email,3
2079,1947,2n Cycle,Married,81044.0,0,0,2013-12-27,0,United States,No Complain,0,5,6,10,1,450.0,26.0,535.0,73.0,98.0,26.0,2015-03-30,False,False,False,False,False,False,2014-12-28,Email,1
5642,1979,Master,Together,62499.0,1,0,2013-12-09,0,Spain,No Complain,0,3,1,6,4,140.0,4.0,61.0,0.0,13.0,4.0,2015-01-06,False,False,False,False,False,False,2014-12-20,Website,2
10530,1959,PhD,Widow,67786.0,0,0,2013-12-07,0,India,No Complain,0,3,6,6,1,431.0,82.0,441.0,80.0,20.0,102.0,2015-01-09,False,False,False,False,False,True,2014-12-28,Website,1
2964,1981,Graduation,Married,26872.0,0,0,2013-10-16,0,Canada,No Complain,0,1,1,2,6,3.0,10.0,8.0,3.0,16.0,32.0,2015-02-28,False,False,False,False,False,False,2014-12-30,Facebook,1
10311,1969,Graduation,Married,4428.0,0,1,2013-10-05,0,Spain,No Complain,0,25,0,0,1,16.0,4.0,12.0,2.0,4.0,321.0,2015-02-03,False,False,False,False,False,False,2014-12-20,Facebook,0
837,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,Spain,No Complain,0,2,1,5,4,63.0,6.0,57.0,13.0,13.0,22.0,2015-01-23,False,False,False,False,False,False,2014-12-28,Website,4
10521,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,Spain,No Complain,0,2,1,5,4,63.0,6.0,57.0,13.0,13.0,22.0,2015-02-18,False,False,False,False,False,True,2014-12-21,Facebook,4
10175,1958,PhD,Divorced,32173.0,0,1,2013-08-01,0,Spain,No Complain,0,1,0,3,4,18.0,0.0,2.0,0.0,0.0,2.0,2015-03-13,False,False,False,False,False,False,2014-12-23,Landing Page,1
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,Canada,No Complain,0,2,0,3,8,53.0,1.0,5.0,2.0,1.0,10.0,2015-01-01,False,False,False,False,False,False,2014-12-15,Facebook,2
